ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",11508,"Dallas, TX","16000US4819000","dallas-tx",390695,0.29078980175875374
0,"White Alone",1,"Hispanic or Latino",2019,"2019",16021,"Dallas, TX","16000US4819000","dallas-tx",444521,0.3308518754209882
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",14742.999999999998,"Dallas, TX","16000US4819000","dallas-tx",326060,0.24268271352707163
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",1850,"Dallas, TX","16000US4819000","dallas-tx",4459,0.0033187824928455267
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",865.0000000000001,"Dallas, TX","16000US4819000","dallas-tx",3697,0.002751634643653266
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",1713,"Dallas, TX","16000US4819000","dallas-tx",3049,0.002269335685285044
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",7548.000000000001,"Dallas, TX","16000US4819000","dallas-tx",49751,0.03702909795953303
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",335,"Dallas, TX","16000US4819000","dallas-tx",282,0.00020988936151209654
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",443,"Dallas, TX","16000US4819000","dallas-tx",312,0.00023221801699210682
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",118,"Dallas, TX","16000US4819000","dallas-tx",59,0.0000439130224440202
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",346,"Dallas, TX","16000US4819000","dallas-tx",545,0.0004056372412201866
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",11709,"Dallas, TX","16000US4819000","dallas-tx",89847,0.06687209029708276
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",3218.8348823759197,"Dallas, TX","16000US4819000","dallas-tx",19085,0.014204746327866535
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",2978.2922959306734,"Dallas, TX","16000US4819000","dallas-tx",11203,0.008338264244751835
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",9632,"Dallas, TX","16000US4819000","dallas-tx",393612,0.2926317918095334
