ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",65712,118,"United States","01000US","united-states"
2019,"2019",64034,500,"Texas","04000US48","texas"
2019,"2019",96134,2691,"Collin County, TX","05000US48085","collin-county-tx"
2019,"2019",61796,872,"Dallas County, TX","05000US48113","dallas-county-tx"
2019,"2019",90523,2864,"Denton County, TX","05000US48121","denton-county-tx"
2019,"2019",55332,1701,"Dallas, TX","16000US4819000","dallas-tx"
2019,"2019",72265,610,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",60629,279,"Texas","04000US48","texas"
2018,"2018",96051,3181,"Collin County, TX","05000US48085","collin-county-tx"
2018,"2018",59839,1022.0000000000001,"Dallas County, TX","05000US48113","dallas-county-tx"
2018,"2018",88117,2773,"Denton County, TX","05000US48121","denton-county-tx"
2018,"2018",52210,914,"Dallas, TX","16000US4819000","dallas-tx"
2018,"2018",69445,955.9999999999999,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",59206,489.99999999999994,"Texas","04000US48","texas"
2017,"2017",94933,2291,"Collin County, TX","05000US48085","collin-county-tx"
2017,"2017",56718,1077,"Dallas County, TX","05000US48113","dallas-county-tx"
2017,"2017",86291,2400,"Denton County, TX","05000US48121","denton-county-tx"
2017,"2017",50627,914,"Dallas, TX","16000US4819000","dallas-tx"
2017,"2017",67382,735,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",56565,300,"Texas","04000US48","texas"
2016,"2016",89638,2679,"Collin County, TX","05000US48085","collin-county-tx"
2016,"2016",54399,1091,"Dallas County, TX","05000US48113","dallas-county-tx"
2016,"2016",80613,2154,"Denton County, TX","05000US48121","denton-county-tx"
2016,"2016",47243,1101,"Dallas, TX","16000US4819000","dallas-tx"
2016,"2016",63812,922.9999999999999,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",55653,314,"Texas","04000US48","texas"
2015,"2015",86217,2184,"Collin County, TX","05000US48085","collin-county-tx"
2015,"2015",51799,630,"Dallas County, TX","05000US48113","dallas-county-tx"
2015,"2015",75649,1704,"Denton County, TX","05000US48121","denton-county-tx"
2015,"2015",45918,936.9999999999999,"Dallas, TX","16000US4819000","dallas-tx"
2015,"2015",61644,469,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",53035,377,"Texas","04000US48","texas"
2014,"2014",86040,2639,"Collin County, TX","05000US48085","collin-county-tx"
2014,"2014",50076,931.9999999999999,"Dallas County, TX","05000US48113","dallas-county-tx"
2014,"2014",74196,2431,"Denton County, TX","05000US48121","denton-county-tx"
2014,"2014",43003,1277,"Dallas, TX","16000US4819000","dallas-tx"
2014,"2014",59530,772,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",51704,238,"Texas","04000US48","texas"
2013,"2013",80273,2542,"Collin County, TX","05000US48085","collin-county-tx"
2013,"2013",47810,1000,"Dallas County, TX","05000US48113","dallas-county-tx"
2013,"2013",74981,1989,"Denton County, TX","05000US48121","denton-county-tx"
2013,"2013",41978,835,"Dallas, TX","16000US4819000","dallas-tx"
2013,"2013",57398,644,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
