ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2019,"2019","04000US48","Texas",1350,692.2658448890859,"Dallas, TX","16000US4819000","dallas-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2019,"2019","04000US48","Texas",3026,895.0888224081452,"Dallas, TX","16000US4819000","dallas-tx"
1,"Construction (Group)",2,"Construction",2019,"2019","04000US48","Texas",77600,6449.0493097820245,"Dallas, TX","16000US4819000","dallas-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2019,"2019","04000US48","Texas",49188,4540.844084528779,"Dallas, TX","16000US4819000","dallas-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2019,"2019","04000US48","Texas",20714,2778.026817725128,"Dallas, TX","16000US4819000","dallas-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2019,"2019","04000US48","Texas",70599,5280.375838896319,"Dallas, TX","16000US4819000","dallas-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2019,"2019","04000US48","Texas",37387,3931.4889037106536,"Dallas, TX","16000US4819000","dallas-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2019,"2019","04000US48","Texas",3158,1300.34610777285,"Dallas, TX","16000US4819000","dallas-tx"
6,"Information (Group)",8,"Information",2019,"2019","04000US48","Texas",11627,2015.8682992695728,"Dallas, TX","16000US4819000","dallas-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2019,"2019","04000US48","Texas",40668,4130.60298261646,"Dallas, TX","16000US4819000","dallas-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2019,"2019","04000US48","Texas",22327,2914.4030263503364,"Dallas, TX","16000US4819000","dallas-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2019,"2019","04000US48","Texas",69030,5233.231601983615,"Dallas, TX","16000US4819000","dallas-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2019,"2019","04000US48","Texas",928,437.7270839233049,"Dallas, TX","16000US4819000","dallas-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2019,"2019","04000US48","Texas",42886,4268.311727135215,"Dallas, TX","16000US4819000","dallas-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2019,"2019","04000US48","Texas",44462,3445.3731292851285,"Dallas, TX","16000US4819000","dallas-tx"
