ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",16269,"Houston, TX","16000US4835000","houston-tx",540458,0.23327809903068764
0,"White Alone",1,"Hispanic or Latino",2019,"2019",22779,"Houston, TX","16000US4835000","houston-tx",721868,0.31158016865525984
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",14407,"Houston, TX","16000US4835000","houston-tx",518947,0.2239932976432549
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",4948,"Houston, TX","16000US4835000","houston-tx",16034,0.006920761724052647
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",1530,"Houston, TX","16000US4835000","houston-tx",5400,0.0023308041231061677
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",1377,"Houston, TX","16000US4835000","houston-tx",4017,0.001733859289355088
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",9707,"Houston, TX","16000US4835000","houston-tx",149840,0.06467549811226447
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",468.00000000000006,"Houston, TX","16000US4835000","houston-tx",966,0.0004169549598001033
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",445,"Houston, TX","16000US4835000","houston-tx",556,0.00023998649860130171
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",295,"Houston, TX","16000US4835000","houston-tx",276,0.00011912998851431523
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",3177,"Houston, TX","16000US4835000","houston-tx",7172,0.003095653179799525
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",19437,"Houston, TX","16000US4835000","houston-tx",298286,0.12874930345645302
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",5541.165581355605,"Houston, TX","16000US4835000","houston-tx",33917,0.014639608045072573
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",3943.101317491094,"Houston, TX","16000US4835000","houston-tx",19060,0.008226875293778437
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",15033,"Houston, TX","16000US4835000","houston-tx",552126,0.23736226887179773
0,"White Alone",1,"Hispanic or Latino",2018,"2018",24671,"Houston, TX","16000US4835000","houston-tx",700309,0.30106702664127355
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",16184,"Houston, TX","16000US4835000","houston-tx",511271,0.21979846007678122
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",3051,"Houston, TX","16000US4835000","houston-tx",11148,0.004792591860160183
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",1383,"Houston, TX","16000US4835000","houston-tx",3957,0.0017011379611279014
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",1815,"Houston, TX","16000US4835000","houston-tx",4705,0.002022707633840479
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",8781,"Houston, TX","16000US4835000","houston-tx",168199,0.07230975585639421
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",661,"Houston, TX","16000US4835000","houston-tx",1064,0.000457419962254255
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",620,"Houston, TX","16000US4835000","houston-tx",669,0.00028760710032715847
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",648,"Houston, TX","16000US4835000","houston-tx",590,0.0002536445279417391
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",2994,"Houston, TX","16000US4835000","houston-tx",8493,0.0036511914844223566
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",16282.999999999998,"Houston, TX","16000US4835000","houston-tx",311551,0.13393763783860468
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",6088.926424255757,"Houston, TX","16000US4835000","houston-tx",36445,0.01566792342514692
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",2951.240586600828,"Houston, TX","16000US4835000","houston-tx",15563,0.006690626759927604
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",15500.000000000002,"Houston, TX","16000US4835000","houston-tx",571417,0.24702126463862217
