ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2019,"2019","04000US48","Texas",1440,885.9373567019285,"Houston, TX","16000US4835000","houston-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2019,"2019","04000US48","Texas",34288,3672.7150719869346,"Houston, TX","16000US4835000","houston-tx"
1,"Construction (Group)",2,"Construction",2019,"2019","04000US48","Texas",132981,8216.367688948689,"Houston, TX","16000US4835000","houston-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2019,"2019","04000US48","Texas",92046,6581.450296097358,"Houston, TX","16000US4835000","houston-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2019,"2019","04000US48","Texas",36451,4131.962366721169,"Houston, TX","16000US4835000","houston-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2019,"2019","04000US48","Texas",109643,7775.6864648724095,"Houston, TX","16000US4835000","houston-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2019,"2019","04000US48","Texas",66748,5937.058952040143,"Houston, TX","16000US4835000","houston-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2019,"2019","04000US48","Texas",9397,1910.6462257571388,"Houston, TX","16000US4835000","houston-tx"
6,"Information (Group)",8,"Information",2019,"2019","04000US48","Texas",13240,2518.4123967293363,"Houston, TX","16000US4835000","houston-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2019,"2019","04000US48","Texas",41028,3641.3301141203883,"Houston, TX","16000US4835000","houston-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2019,"2019","04000US48","Texas",24548,3461.020803173538,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2019,"2019","04000US48","Texas",90510,6313.318382594054,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2019,"2019","04000US48","Texas",3628,1185.1649674201478,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2019,"2019","04000US48","Texas",65621,6219.6138947687095,"Houston, TX","16000US4835000","houston-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2019,"2019","04000US48","Texas",95705,6393.2236782393275,"Houston, TX","16000US4835000","houston-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2019,"2019","04000US48","Texas",123256,8121.808911812687,"Houston, TX","16000US4835000","houston-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2019,"2019","04000US48","Texas",16383,3224.798443313938,"Houston, TX","16000US4835000","houston-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2019,"2019","04000US48","Texas",91856,6801.875329642553,"Houston, TX","16000US4835000","houston-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2019,"2019","04000US48","Texas",62759,5233.0034397084055,"Houston, TX","16000US4835000","houston-tx"
12,"Public Administration (Group)",19,"Public Administration",2019,"2019","04000US48","Texas",24879,3271.429351216376,"Houston, TX","16000US4835000","houston-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,"2018","04000US48","Texas",2224,948.0638164174393,"Houston, TX","16000US4835000","houston-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2018,"2018","04000US48","Texas",32047,3486.248556830106,"Houston, TX","16000US4835000","houston-tx"
1,"Construction (Group)",2,"Construction",2018,"2018","04000US48","Texas",133309,7619.241760175352,"Houston, TX","16000US4835000","houston-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2018,"2018","04000US48","Texas",91101,5934.561230621857,"Houston, TX","16000US4835000","houston-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2018,"2018","04000US48","Texas",30058,2952.879272845404,"Houston, TX","16000US4835000","houston-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2018,"2018","04000US48","Texas",113163,6009.536587791109,"Houston, TX","16000US4835000","houston-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2018,"2018","04000US48","Texas",63058,4997.358702354675,"Houston, TX","16000US4835000","houston-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2018,"2018","04000US48","Texas",9861,1722.9381880961375,"Houston, TX","16000US4835000","houston-tx"
6,"Information (Group)",8,"Information",2018,"2018","04000US48","Texas",13672,2169.5575585819333,"Houston, TX","16000US4835000","houston-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2018,"2018","04000US48","Texas",42994,4174.909939148389,"Houston, TX","16000US4835000","houston-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2018,"2018","04000US48","Texas",22163,2646.8103445468096,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2018,"2018","04000US48","Texas",89884,5402.125600168883,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2018,"2018","04000US48","Texas",2466,927.4055207944365,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2018,"2018","04000US48","Texas",72090,5592.743959810783,"Houston, TX","16000US4835000","houston-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2018,"2018","04000US48","Texas",99888,6157.056195942993,"Houston, TX","16000US4835000","houston-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2018,"2018","04000US48","Texas",125991,6941.230006274104,"Houston, TX","16000US4835000","houston-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2018,"2018","04000US48","Texas",16753,2236.3329358572705,"Houston, TX","16000US4835000","houston-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2018,"2018","04000US48","Texas",98395,7266.443696885017,"Houston, TX","16000US4835000","houston-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2018,"2018","04000US48","Texas",61742,5044.88780846512,"Houston, TX","16000US4835000","houston-tx"
12,"Public Administration (Group)",19,"Public Administration",2018,"2018","04000US48","Texas",25515,3315.023378499766,"Houston, TX","16000US4835000","houston-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2017,"2017","04000US48","Texas",2207,939.2049829510064,"Houston, TX","16000US4835000","houston-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2017,"2017","04000US48","Texas",29867,3018.2809677033056,"Houston, TX","16000US4835000","houston-tx"
1,"Construction (Group)",2,"Construction",2017,"2017","04000US48","Texas",117617,6423.085317820401,"Houston, TX","16000US4835000","houston-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2017,"2017","04000US48","Texas",91529,6172.129373239029,"Houston, TX","16000US4835000","houston-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2017,"2017","04000US48","Texas",30195,3033.7003807231854,"Houston, TX","16000US4835000","houston-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2017,"2017","04000US48","Texas",112623,7297.449417433464,"Houston, TX","16000US4835000","houston-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2017,"2017","04000US48","Texas",55901,4974.859193987303,"Houston, TX","16000US4835000","houston-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2017,"2017","04000US48","Texas",10706,1897.4901844278404,"Houston, TX","16000US4835000","houston-tx"
6,"Information (Group)",8,"Information",2017,"2017","04000US48","Texas",12530,2032.018946762062,"Houston, TX","16000US4835000","houston-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2017,"2017","04000US48","Texas",40471,3682.2847527044946,"Houston, TX","16000US4835000","houston-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2017,"2017","04000US48","Texas",27272,3274.4028463217537,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2017,"2017","04000US48","Texas",93242,5343.1280164338195,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2017,"2017","04000US48","Texas",3276,1084.7930678244584,"Houston, TX","16000US4835000","houston-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2017,"2017","04000US48","Texas",65733,5456.40705959517,"Houston, TX","16000US4835000","houston-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2017,"2017","04000US48","Texas",86477,5406.1125589465855,"Houston, TX","16000US4835000","houston-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2017,"2017","04000US48","Texas",121078,6468.306501705063,"Houston, TX","16000US4835000","houston-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2017,"2017","04000US48","Texas",16251,2882.071477253817,"Houston, TX","16000US4835000","houston-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2017,"2017","04000US48","Texas",92945,6329.922906323583,"Houston, TX","16000US4835000","houston-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2017,"2017","04000US48","Texas",65944,5703.815740361885,"Houston, TX","16000US4835000","houston-tx"
12,"Public Administration (Group)",19,"Public Administration",2017,"2017","04000US48","Texas",29334,3320.169423387909,"Houston, TX","16000US4835000","houston-tx"
