ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",65712,118,"United States","01000US","united-states"
2019,"2019",64034,500,"Texas","04000US48","texas"
2019,"2019",58964,1326,"Bexar County, TX","05000US48029","bexar-county-tx"
2019,"2019",53751,1273,"San Antonio, TX","16000US4865000","san-antonio-tx"
2019,"2019",62355,940,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx"
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",60629,279,"Texas","04000US48","texas"
2018,"2018",54149,1409,"Bexar County, TX","05000US48029","bexar-county-tx"
2018,"2018",49024,1430,"San Antonio, TX","16000US4865000","san-antonio-tx"
2018,"2018",57379,1106,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",59206,489.99999999999994,"Texas","04000US48","texas"
2017,"2017",54175,1295,"Bexar County, TX","05000US48029","bexar-county-tx"
2017,"2017",50044,1296,"San Antonio, TX","16000US4865000","san-antonio-tx"
2017,"2017",56774,903.9999999999999,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",56565,300,"Texas","04000US48","texas"
2016,"2016",53210,1108,"Bexar County, TX","05000US48029","bexar-county-tx"
2016,"2016",49268,1221,"San Antonio, TX","16000US4865000","san-antonio-tx"
2016,"2016",56105,1019,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",55653,314,"Texas","04000US48","texas"
2015,"2015",52286,978,"Bexar County, TX","05000US48029","bexar-county-tx"
2015,"2015",48869,1323,"San Antonio, TX","16000US4865000","san-antonio-tx"
2015,"2015",55083,1102,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",53035,377,"Texas","04000US48","texas"
2014,"2014",50760,929,"Bexar County, TX","05000US48029","bexar-county-tx"
2014,"2014",45339,1563,"San Antonio, TX","16000US4865000","san-antonio-tx"
2014,"2014",52689,1053,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",51704,238,"Texas","04000US48","texas"
2013,"2013",49769,1120,"Bexar County, TX","05000US48029","bexar-county-tx"
2013,"2013",45399,1241,"San Antonio, TX","16000US4865000","san-antonio-tx"
2013,"2013",51716,830,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx"
