ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2019,"2019","04000US48","Texas",843,888.3721067210518,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2019,"2019","04000US48","Texas",5590,1562.9974408168428,"San Antonio, TX","16000US4865000","san-antonio-tx"
1,"Construction (Group)",2,"Construction",2019,"2019","04000US48","Texas",67718,6790.594966569572,"San Antonio, TX","16000US4865000","san-antonio-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2019,"2019","04000US48","Texas",34556,3544.0682837665527,"San Antonio, TX","16000US4865000","san-antonio-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2019,"2019","04000US48","Texas",15641,2459.4946635437127,"San Antonio, TX","16000US4865000","san-antonio-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2019,"2019","04000US48","Texas",91295,6182.3239158103,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2019,"2019","04000US48","Texas",32001,3724.22152939376,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2019,"2019","04000US48","Texas",3845,1947.4793965534013,"San Antonio, TX","16000US4865000","san-antonio-tx"
6,"Information (Group)",8,"Information",2019,"2019","04000US48","Texas",10773,1846.3859293224696,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2019,"2019","04000US48","Texas",44160,3982.656902119488,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2019,"2019","04000US48","Texas",17415,2849.419063598754,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2019,"2019","04000US48","Texas",50740,4367.320116501652,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2019,"2019","04000US48","Texas",830,470.8258701473401,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2019,"2019","04000US48","Texas",41027,5621.109232171174,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2019,"2019","04000US48","Texas",66113,5181.435804871078,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2019,"2019","04000US48","Texas",104511,7855.472805630479,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2019,"2019","04000US48","Texas",14381,2475.766144045111,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2019,"2019","04000US48","Texas",79062,6248.038572224086,"San Antonio, TX","16000US4865000","san-antonio-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2019,"2019","04000US48","Texas",36863,4639.452122826574,"San Antonio, TX","16000US4865000","san-antonio-tx"
12,"Public Administration (Group)",19,"Public Administration",2019,"2019","04000US48","Texas",28576,3399.6024767610697,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,"2018","04000US48","Texas",1315,698.5649576095268,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2018,"2018","04000US48","Texas",5987,1774.0961078814194,"San Antonio, TX","16000US4865000","san-antonio-tx"
1,"Construction (Group)",2,"Construction",2018,"2018","04000US48","Texas",62291,5061.323245950609,"San Antonio, TX","16000US4865000","san-antonio-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2018,"2018","04000US48","Texas",40174,4027.819757635637,"San Antonio, TX","16000US4865000","san-antonio-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2018,"2018","04000US48","Texas",13793,2266.446116721066,"San Antonio, TX","16000US4865000","san-antonio-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2018,"2018","04000US48","Texas",88240,6177.825669278795,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2018,"2018","04000US48","Texas",30015,3584.2227888344214,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2018,"2018","04000US48","Texas",4457,1302.4976007655448,"San Antonio, TX","16000US4865000","san-antonio-tx"
6,"Information (Group)",8,"Information",2018,"2018","04000US48","Texas",10293,2111.005684502057,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2018,"2018","04000US48","Texas",45912,4113.244947726795,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2018,"2018","04000US48","Texas",13671,2152.00232341882,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2018,"2018","04000US48","Texas",43171,3702.3507397327985,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2018,"2018","04000US48","Texas",759,522.5217698814088,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2018,"2018","04000US48","Texas",43783,4246.092321181912,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2018,"2018","04000US48","Texas",65239,4572.4980043735395,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2018,"2018","04000US48","Texas",98054,5862.42483960349,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2018,"2018","04000US48","Texas",13714,2167.991236144648,"San Antonio, TX","16000US4865000","san-antonio-tx"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2018,"2018","04000US48","Texas",75249,5270.398846387245,"San Antonio, TX","16000US4865000","san-antonio-tx"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2018,"2018","04000US48","Texas",34886,3534.3606211024935,"San Antonio, TX","16000US4865000","san-antonio-tx"
12,"Public Administration (Group)",19,"Public Administration",2018,"2018","04000US48","Texas",25402,2928.0841859482116,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2017,"2017","04000US48","Texas",2185,995.1452155338939,"San Antonio, TX","16000US4865000","san-antonio-tx"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2017,"2017","04000US48","Texas",4327,1350.8637977235157,"San Antonio, TX","16000US4865000","san-antonio-tx"
1,"Construction (Group)",2,"Construction",2017,"2017","04000US48","Texas",62062,5375.153300139448,"San Antonio, TX","16000US4865000","san-antonio-tx"
2,"Manufacturing (Group)",3,"Manufacturing",2017,"2017","04000US48","Texas",38237,3577.265575827437,"San Antonio, TX","16000US4865000","san-antonio-tx"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2017,"2017","04000US48","Texas",18490,2651.956636146225,"San Antonio, TX","16000US4865000","san-antonio-tx"
4,"Retail Trade (Group)",5,"Retail Trade",2017,"2017","04000US48","Texas",83683,5208.604035631812,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2017,"2017","04000US48","Texas",29799,4048.851812551307,"San Antonio, TX","16000US4865000","san-antonio-tx"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2017,"2017","04000US48","Texas",3266,931.1933204227787,"San Antonio, TX","16000US4865000","san-antonio-tx"
6,"Information (Group)",8,"Information",2017,"2017","04000US48","Texas",11734,2012.2529662047962,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2017,"2017","04000US48","Texas",49408,4479.618845392987,"San Antonio, TX","16000US4865000","san-antonio-tx"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2017,"2017","04000US48","Texas",13793,2617.7028097169473,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2017,"2017","04000US48","Texas",43762,3707.4029994053794,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2017,"2017","04000US48","Texas",877,452.3648969581968,"San Antonio, TX","16000US4865000","san-antonio-tx"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2017,"2017","04000US48","Texas",37524,3688.1443843754278,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2017,"2017","04000US48","Texas",65550,5220.600061295636,"San Antonio, TX","16000US4865000","san-antonio-tx"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2017,"2017","04000US48","Texas",94617,5199.1168480810275,"San Antonio, TX","16000US4865000","san-antonio-tx"
